,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
adr_75th,800.1429378531074,922.5177401129943,969.5849717514125,931.931186440678,960.1715254237288,955.464802259887,927.2244632768362,1091.9597740112995,1068.4261581920905,1073.1328813559323,1073.1328813559323,908.3975706214688
occ_75th,97.01298701298701,101.68831168831169,94.67532467532467,98.18181818181817,107.53246753246752,93.4354,93.5064935064935,93.4354,93.4354,93.4354,93.4354,93.4354
revenue_75th,24555.367113586275,29360.75502888796,28865.35421287748,28760.769596164155,32217.566401215077,25513.142024539877,27346.125043778666,30676.319418071354,19656.40348859372,27478.231928048124,23212.280456846744,23250.81163142534
